ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,"Interdune, Depth",Lee,"Stoss, Depth",Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.28A,MF.30A,MF.31B,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu10,39.0,186.0,88.0,27.0,34.0,45.0,534.0,381.0,217.0,1675.0,97.0,91.0,21.0,400.0,89.0,19.0,34.0,77.0,60.0,426.0,46.0,18.0,395.0,22.0,563.0,268.0,170.0,299.0,104.0,272.0,207.0,15.0,16.0,244.0,234.0,19.0,593.0,191.0,146.0,536.0,20.0,699.0,104.0,18.0,18.0,12.0,184.0,296.0,26.0,222.0,242.0,152.0,65.0,99.0,10.0,11.0,12.0,10.0,10.0,14.0,15.0,55.0,bacteria,actinomycetota,actinomycetes,pseudonocardiales,pseudonocardiaceae,saccharothrix,saccharothrix espanaensis
Zotu314,15.0,8.0,5.0,5.0,5.0,6.0,4.0,3.0,0.0,3.0,0.0,13.0,4.0,6.0,24.0,2.0,8.0,8.0,0.0,3.0,4.0,0.0,6.0,0.0,5.0,3.0,40.0,2.0,522.0,91.0,4.0,2.0,0.0,1.0,65.0,1.0,0.0,1.0,0.0,50.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,24.0,1.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,pseudolabrys,pseudolabrys taiwanensis
Zotu6,34.0,46.0,89.0,27.0,37.0,30.0,60.0,97.0,35.0,15.0,98.0,160.0,2132.0,25.0,38.0,27.0,63.0,152.0,108.0,270.0,52.0,985.0,1854.0,165.0,519.0,165.0,331.0,230.0,36.0,30.0,237.0,743.0,1034.0,682.0,184.0,1130.0,40.0,21.0,23.0,152.0,257.0,14.0,22.0,21.0,117.0,191.0,236.0,265.0,587.0,270.0,268.0,25.0,76.0,53.0,18.0,11.0,14.0,8.0,48.0,33.0,60.0,26.0,bacteria,bacillota,bacilli,bacillales,staphylococcaceae,staphylococcus,staphylococcus warneri
Zotu285,182.0,10.0,7.0,6.0,3.0,19.0,0.0,4.0,9.0,3.0,31.0,29.0,1.0,2.0,4.0,2.0,2.0,45.0,3.0,170.0,3.0,320.0,4.0,1.0,2.0,5.0,2.0,9.0,1.0,11.0,2.0,62.0,6.0,77.0,155.0,4.0,1.0,70.0,258.0,1.0,3.0,31.0,2.0,3.0,74.0,65.0,30.0,2.0,5.0,4.0,7.0,11.0,6.0,4.0,2.0,2.0,15.0,3.0,4.0,2.0,3.0,5.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium faecigallinarum
Zotu840,258.0,1.0,2.0,4.0,1.0,1.0,3.0,33.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,3.0,4.0,16.0,0.0,5.0,0.0,0.0,4.0,5.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides marinus
Zotu183,106.0,18.0,62.0,2.0,8.0,8.0,46.0,83.0,14.0,232.0,8.0,29.0,5.0,32.0,48.0,4.0,38.0,44.0,5.0,441.0,32.0,5.0,6.0,4.0,8.0,8.0,5.0,10.0,17.0,5.0,12.0,0.0,2.0,1.0,2.0,6.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,52.0,1.0,3.0,141.0,26.0,22.0,47.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides pakistanensis
Zotu52,584.0,75.0,40.0,68.0,46.0,154.0,55.0,100.0,56.0,882.0,93.0,33.0,8.0,115.0,19.0,43.0,260.0,164.0,8.0,347.0,31.0,14.0,25.0,7.0,13.0,13.0,111.0,14.0,17.0,19.0,15.0,5.0,7.0,6.0,10.0,8.0,6.0,5.0,8.0,20.0,4.0,8.0,5.0,383.0,6.0,50.0,246.0,132.0,397.0,5.0,147.0,13.0,30.0,23.0,5.0,6.0,6.0,4.0,3.0,24.0,54.0,12.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,labrys,labrys wisconsinensis
Zotu85,239.0,28.0,19.0,3.0,7.0,18.0,3.0,1.0,4.0,2.0,5.0,48.0,7.0,5.0,4.0,12.0,3.0,7.0,27.0,34.0,58.0,174.0,1.0,1.0,1.0,41.0,292.0,99.0,11.0,30.0,139.0,236.0,1.0,5.0,57.0,444.0,69.0,4.0,20.0,59.0,153.0,2.0,2.0,5.0,8.0,3.0,88.0,58.0,65.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,278.0,3.0,15.0,11.0,4.0,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,cnuella,cnuella takakiae
Zotu446,526.0,5.0,6.0,139.0,1.0,1.0,3.0,5.0,1.0,0.0,2.0,3.0,8.0,1.0,10.0,2.0,5.0,1.0,4.0,1.0,6.0,0.0,5.0,0.0,4.0,3.0,6.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingomonadaceae,novosphingobium,novosphingobium stygium
Zotu151,1077.0,4.0,9.0,3.0,10.0,4.0,12.0,5.0,3.0,3.0,6.0,2.0,1.0,52.0,3.0,7.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,230.0,4.0,11.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,214.0,2.0,1.0,2.0,1.0,4.0,1.0,80.0,1.0,1.0,131.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,6.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides aquiterrae
