ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia consociata
Zotu75,33.0,0.0,3.0,6.0,7.0,4.0,6.0,9.0,41.0,146.0,bacteria,bacillota,bacilli,lactobacillales,streptococcaceae,streptococcus,streptococcus mitis
Zotu1360,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter arboris
Zotu35,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetia,propionibacteriales,nocardioidaceae,nocardioides,nocardioides furvisabuli
Zotu1138,45.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,7.0,bacteria,chloroflexota,tepidiformia,tepidiformales,tepidiformaceae,tepidiforma,tepidiforma bonchosmolovskayae
Zotu3208,5.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,6.0,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,rhodospirillaceae,elstera,elstera cyanobacteriorum
Zotu3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum aerium
Zotu179,14.0,2.0,3.0,0.0,1.0,6.0,2.0,1.0,1.0,65.0,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,acetobacteraceae,sabulicella,sabulicella rubraurantiaca
Zotu693,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga thermotolerans
Zotu291,38.0,1.0,2.0,0.0,2.0,1.0,1.0,14.0,16.0,57.0,bacteria,planctomycetota,planctomycetia,pirellulales,lacipirellulaceae,pirellulimonas,pirellulimonas nuda
Zotu4787,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,deltaproteobacteria,myxococcales,kofleriaceae,kofleria,kofleria flava
Zotu2898,5.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,21.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu27,7.0,253.0,8.0,10.0,5.0,7.0,10.0,15.0,10.0,26.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus sabuli
Zotu2601,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus chilensis
Zotu1546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,erythrobacteraceae,porphyrobacter,porphyrobacter sanguineus
Zotu405,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,bacteria,myxococcota,myxococcia,myxococcales,myxococcaceae,simulacricoccus,simulacricoccus ruber
Zotu5819,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiales,aquabacterium,aquabacterium limnoticum
Zotu93,38.0,8.0,4.0,5.0,1.0,2.0,2.0,1.0,15.0,103.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,actinomarinicola,actinomarinicola tropica
Zotu641,1.0,13.0,0.0,2.0,22.0,3.0,0.0,2.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,kocuria,kocuria palustris
