ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu1427,0.0034300610550867805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacteroidota,sphingobacteriia,sphingobacteriales,aurantibacillaceae,aurantibacillus,aurantibacillus circumpalustris
Zotu2021,0.07546134321190917,0.0,0.0,0.0,0.0,0.0,0.0033507572711432786,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,caulobacterales,caulobacteraceae,phenylobacterium,phenylobacterium deserti
Zotu358,0.006860122110173561,0.0031426775612822125,0.0,0.0,0.0033031644315254013,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingomonadaceae,sphingopyxis,sphingopyxis macrogoltabida
Zotu1283,0.0,0.0,0.0,0.010003668011604254,0.0,0.0,0.0,0.0,0.0,0.0,archaea,thaumarchaeota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,nitrososphaera,candidatus nitrososphaera gargensis
Zotu347,0.12691225903821088,0.17598994343180388,1.2781748213304012,1.217112941411851,1.1131664134240602,0.3228225780154564,1.1225036858329982,1.1560311798123926,1.4020511489030247,0.0385715663270226,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingosinicellaceae,sphingosinicella,sphingosinicella humi
Zotu43,0.1955134801399465,0.06913890634820867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,paracoccaceae,paracoccus,paracoccus speluncae
Zotu434,0.017150305275433902,0.0031426775612822125,0.006871907641561298,0.010003668011604254,0.0066063288630508026,0.006521668242736492,0.0033507572711432786,0.006605892456070815,0.00973646631182656,0.025714377551348398,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,salinarimonadaceae,salinarimonas,salinarimonas soli
Zotu1703,0.041160732661041366,0.006285355122564425,0.0,0.0,0.0033031644315254013,0.0,0.0,0.0,0.0,0.3053582334222622,bacteria,pseudomonadota,betaproteobacteria,nitrosomonadales,methylophilaceae,pseudomethylobacillus,pseudomethylobacillus aquaticus
Zotu467,0.18522329697468615,0.28284098051539913,0.003435953820780649,0.0,0.0,0.0,0.0,0.0,0.003245488770608854,0.0321429719391855,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium rubrum
Zotu69,1.1525005145091582,0.037712130735386554,0.003435953820780649,0.0,0.0066063288630508026,0.019565004728209476,0.0033507572711432786,0.006605892456070815,0.006490977541217708,0.29250104464658805,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum aerium
